C:\Users\Nishit\Desktop\proj\potato\(1).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(10).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(100).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1000).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1001).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1002).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1003).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1004).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1005).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1006).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1007).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1008).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1009).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(101).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1010).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1011).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1012).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1013).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1014).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1015).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1016).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1017).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1018).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1019).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(102).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1020).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1021).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1022).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1023).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1024).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1025).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1026).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1027).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1028).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1029).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(103).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1030).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1031).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1032).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1033).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1034).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1035).JPG,1
C:\Users\Nishit\Desktop\proj\potato\(1036).JPG,1
